"id","blog","category","markdown","sg_id"
13816,"WN555","Other Geo Things","Carolin Klonner, and others from GIScience Heidelberg, have [published](http://giscienceblog.uni-hd.de/2021/03/04/new-paper-published-about-the-sketch-map-tool/) a paper about the OSM Sketch Map Tool. This supports participatory mapping approaches and risk communication using and extending OSM Field Papers. It also includes a fitness-for-purpose analysis of the OpenStreetMap data for the respective region, similar to the approach in the [ohsome Quality analysT](http://k1z.blog.uni-heidelberg.de/2021/02/08/introducing-the-ohsome-quality-analyst-oqt/) (OQT) tool.",7
16430,"WN630","Maps","[2] With [Sketch Map Tool](https://github.com/GIScience/sketch-map-tool), residents can [indicate](https://www.geog.uni-heidelberg.de/gis/sketchmaptool_en.html) on paper maps where they know there is a risk of flooding. These maps are based on OSM field papers.",7
17342,"WN656","Upcoming Events","|Where         |What                                                                                                                    |Online|When                   |Country                                                                |
|--------------|------------------------------------------------------------------------------------------------------------------------|------|-----------------------|-----------------------------------------------------------------------|
|Budapest      |Hiking by the pipeline towards Százhalombatta [:osmcalpic:](https://osmcal.org/event/1855/)                             |      |2023-02-18             |![flag](https://blog.openstreetmap.de/wp-uploads/2016/02/hu.svg)       |
|Nairobi       |Mapping for Türkiye and Syria [:osmcalpic:](https://osmcal.org/event/1911/)                                             |      |2023-02-18             |ke                                                                     |
|Bologna       |Wikigita alla Certosa di Bologna [:osmcalpic:](https://osmcal.org/event/1864/)                                          |      |2023-02-18             |![flag](https://blog.openstreetmap.de/wp-uploads/2016/02/it.svg)       |
|Toulouse      |Réunion du groupe local de Toulouse [:osmcalpic:](https://osmcal.org/event/1773/)                                       |      |2023-02-18             |![flag](https://blog.openstreetmap.de/wp-uploads/2016/02/fr.svg)       |
|              |iD monthly meetup [:osmcalpic:](https://osmcal.org/event/1893/)                                                         |      |2023-02-20             |                                                                       |
|              |OSMF Engineering Working Group meeting [:osmcalpic:](https://osmcal.org/event/1866/)                                    |      |2023-02-21             |                                                                       |
|Lyon          |Réunion du groupe local de Lyon [:osmcalpic:](https://osmcal.org/event/1863/)                                           |      |2023-02-21             |![flag](https://blog.openstreetmap.de/wp-uploads/2016/02/fr.svg)       |
|              |160. Treffen des OSM-Stammtisches Bonn [:osmcalpic:](https://osmcal.org/event/1781/)                                    |      |2023-02-21             |                                                                       |
|Lüneburg      |Lüneburger Mappertreffen (online) [:osmcalpic:](https://osmcal.org/event/1899/)                                         |      |2023-02-21             |![flag](https://blog.openstreetmap.de/wp-uploads/2016/01/de.svg)       |
|              |HeiGIT Sketch Map Tool Launch [:osmcalpic:](https://osmcal.org/event/1896/)                                             |      |2023-02-22             |                                                                       |
|Berlin        |Missing Maps - DRK & MSF Online Mapathon [:osmcalpic:](https://osmcal.org/event/1841/)                                  |      |2023-02-22             |![flag](https://blog.openstreetmap.de/wp-uploads/2016/01/de.svg)       |
|Düsseldorf    |Düsseldorfer OpenStreetMap-Treffen [:osmcalpic:](https://osmcal.org/event/1886/)                                        |      |2023-02-22             |![flag](https://blog.openstreetmap.de/wp-uploads/2016/01/de.svg)       |
|Wien          |67. Wiener Stammtisch [:osmcalpic:](https://osmcal.org/event/1897/)                                                     |      |2023-02-22             |![flag](https://blog.openstreetmap.de/wp-uploads/2016/02/at.svg)       |
|              |[Online] OpenStreetMap Foundation board of Directors - public videomeeting [:osmcalpic:](https://osmcal.org/event/1910/)|      |2023-02-23             |                                                                       |
|Lajoux        |OpenStreetMap : la cartographie collaborative pour tous [:osmcalpic:](https://osmcal.org/event/1876/)                   |      |2023-02-24             |![flag](https://blog.openstreetmap.de/wp-uploads/2016/02/fr.svg)       |
|Lajoux        |OpenStreetMap : la cartographie collaborative pour tous [:osmcalpic:](https://osmcal.org/event/1877/)                   |      |2023-02-25             |![flag](https://blog.openstreetmap.de/wp-uploads/2016/02/fr.svg)       |
|Karlsruhe     |Karlsruhe Hack Weekend February 2023 [:osmcalpic:](https://osmcal.org/event/1802/)                                      |      |2023-02-25 - 2023-02-26|![flag](https://blog.openstreetmap.de/wp-uploads/2016/01/de.svg)       |
|IJmuiden      |OSM Nederland bijeenkomst (online) [:osmcalpic:](https://osmcal.org/event/1891/)                                        |✓     |2023-02-25             |![flag](https://blog.openstreetmap.de/wp-uploads/2015/07/nl.svg)       |
|              |Junta bimestral OSM-LatAm [:osmcalpic:](https://osmcal.org/event/1867/)                                                 |      |2023-02-25             |                                                                       |
|              |Understanding the Basics of OpenStreetMap [:osmcalpic:](https://osmcal.org/event/1884/)                                 |      |2023-02-25 - 2023-02-26|                                                                       |
|Bremen        |Bremer Mappertreffen (Online) [:osmcalpic:](https://osmcal.org/event/1847/)                                             |✓     |2023-02-27             |![flag](https://blog.openstreetmap.de/wp-uploads/2016/01/de.svg)       |
|Swarzędz      |Workshops for new users - improve the space around you virtually [:osmcalpic:](https://osmcal.org/event/1865/)          |      |2023-02-28             |![flag](https://blog.openstreetmap.de/wp-uploads/2016/05/pl.svg)       |
|San Jose      |South Bay Map Night [:osmcalpic:](https://osmcal.org/event/1833/)                                                       |✓     |2023-03-01             |![flag](https://blog.openstreetmap.de/wp-uploads/2016/01/us.svg)       |
|Stuttgart     |Stuttgarter Stammtisch [:osmcalpic:](https://osmcal.org/event/1872/)                                                    |      |2023-03-01             |![flag](https://blog.openstreetmap.de/wp-uploads/2016/01/de.svg)       |
|England       |OSM UK Chat [:osmcalpic:](https://osmcal.org/event/1885/)                                                               |✓     |2023-03-02             |![flag](https://weeklyosm.eu/wp-content/uploads/sites/4/2020/09/uk.svg)|
|Budapest      |Hiking by the pipeline between Barosstelep and Albertfalva [:osmcalpic:](https://osmcal.org/event/1856/)                |      |2023-03-04             |![flag](https://blog.openstreetmap.de/wp-uploads/2016/02/hu.svg)       |
|泉大津市          |マッピングパーティーin泉大津 [:osmcalpic:](https://osmcal.org/event/1800/)                                                           |      |2023-03-04             |![flag](https://blog.openstreetmap.de/wp-uploads/2016/08/jp.svg)       |
|荒尾市           |地域の「今」を記録して残そう！ みんなで作る！ みんなが使える無料のマップ ～変わりゆく荒尾～ [:osmcalpic:](https://osmcal.org/event/1895/)                           |      |2023-03-05             |![flag](https://blog.openstreetmap.de/wp-uploads/2016/08/jp.svg)       |
|              |MapRoulette Monthly Community Meeting [:osmcalpic:](https://osmcal.org/event/1807/)                                     |      |2023-03-07             |                                                                       |
|              |Missing Maps London Mapathon [:osmcalpic:](https://osmcal.org/event/1894/)                                              |      |2023-03-07             |                                                                       |
|Stainach-Pürgg|8. Virtueller OpenStreetMap Stammtisch Österreich [:osmcalpic:](https://osmcal.org/event/1648/)                         |      |2023-03-08             |![flag](https://blog.openstreetmap.de/wp-uploads/2016/02/at.svg)       |
|Salt Lake City|OSM Utah Monthly Map Night [:osmcalpic:](https://osmcal.org/event/1811/)                                                |      |2023-03-09             |![flag](https://blog.openstreetmap.de/wp-uploads/2016/01/us.svg)       |
|München       |Münchner OSM-Treffen [:osmcalpic:](https://osmcal.org/event/1757/)                                                      |      |2023-03-09             |![flag](https://blog.openstreetmap.de/wp-uploads/2016/01/de.svg)       |
|Winterthur    |OSM-Stammtisch @Init7 [:osmcalpic:](https://osmcal.org/event/1845/)                                                     |      |2023-03-10             |![flag](https://blog.openstreetmap.de/wp-uploads/2016/02/ch.svg)       |",7
17789,"WN670","Education","Anne Schauß, from HeiGIT, [held](https://heigit.org/training-on-digitalization-of-participatory-mapping-in-kuala-lumpur/) a training session in Kuala Lumpur, Malaysia, for the International Federation of Red Cross and Red Crescent Societies (IFRC). She showcased the [Sketch Map Tool](https://sketch-map-tool.heigit.org/) (with functionality similar to [Field Papers](https://fieldpapers.org/)), that helps collect geolocated field data by tracing with pen and paper. Either OpenStreetMap (OSM) or an image is printed as the background.",7
17817,"WN671","Did you know that…","… the [Sketch Map Tool](https://sketch-map-tool.heigit.org/) 'for participatory sketch mapping through offline collection, digitisation, and georeferencing of local spatial knowledge'?",7
18029,"WN677","Events","HeiGIT [took](https://heigit.org/de/heigit-at-the-us-state-of-the-map-conference-june-2023-2/) part in the US State of the Map Conference for the first time. Marcel Reinmuth gave several talks presenting HeiGIT’s platforms and services to the US OSM community and ran a workshop, together with Charles Hatfield, to introduce the new version of the [Sketch Map Tool](https://sketch-map-tool.heigit.org/) to a wider audience.",7
18496,"WN691","Software","HeiGIT [announced](https://heigit.org/sketchmaptool-enters-next-phase-with-funding-from-german-red-cross-and-german-federal-office/) that SketchMapTool, an application to support paper-based digital mapping activities, has received funding support from the German Red Cross and the German Foreign Office.",7
19568,"WN716","Events","The Heidelberg Institute for Geoinformation Technology [will](https://mapstodon.space/@heigit/112241788900678396) release Sketch Map Tool 2.0 on Tuesday 16 April. The new version will [offer](https://heigit.org/unveiling-the-sketch-map-tool-2-0-a-comprehensive-overview-of-new-features-and-training-opportunities/) enhancements for participatory mapping with offline data collection, digitisation, and georeferencing. Join the launch event in the first session at 9 am or the second session at 5 pm (UTC+2).",7
21578,"WN763","Releases","The newly released Sketch Map Tool v2.1 [features](https://heigit.org/digitizing-maps-with-sketchmaptool-v2-1-enhanced-sketch-detection-and-global-impact-2) higher accuracy in digitising hand-sketched markings on Sketch Maps, thanks to a larger training dataset and an updated machine learning model for sketch detection. New user metrics show that thousands of Sketch Maps are created every month all over the world.",7
