"id","blog","category","markdown"
1861,"WN303","Mapping","Simon's [WhoDidIt service](http://simon04.dev.openstreetmap.org/whodidit/) has a [new](https://github.com/simon04/whodidit/issues/18) changeset filter for the used editor software. This can be useful for some users who are concerned about possibly duplicated POIs from apps like Osmand or maps.me when the available offline maps have become significantly outdated."
4780,"WN362","Mapping","On the ""talk"" mailing list, a contributor [asked](https://lists.openstreetmap.org/pipermail/talk/2017-June/078241.html) how they could follow other mappers' edits to things of interest to them. Other than [whodidit](http://simon04.dev.openstreetmap.org/whodidit/) (which can also provide RSS feeds), other monitoring tools such as [""Hall Monitor""](http://osm-hall-monitor.herokuapp.com/object_watch) and [osm-qa-feeds](https://tyrasd.github.io/osm-qa-feeds/) were mentioned."
5532,"WN376","Did you know that…","...[WHODIDIT](http://zverik.osm.rambler.ru/whodidit/) to analyze OpenStreetMap changesets?"
13320,"WN545","Software","[WHODIDIT](https://simon04.dev.openstreetmap.org/whodidit/) is now working again after a [server upgrade](https://github.com/simon04/whodidit/issues/49)."
19523,"WN715","Mapping","[OMNIBUS](https://www.openstreetmap.org/user/OMNIBUS/), from [ReDHumus](https://redhumus.org) :ES-s:>>>[:EN-t:](https://redhumus-org.translate.goog/?_x_tr_sl=auto&_x_tr_tl=EN), has [written](https://www.openstreetmap.org/user/OMNIBUS/diary/403834) a diary entry regarding his participation in the #UNMappers validation training. In particular he shares how he uses the 'Who did it' RSS generator to track changes in the map for his area of interest, and how to publish the timeline on a website for non-techy users."
21253,"WN755","Software","The [WhoDidIt](https://simon04.dev.openstreetmap.org/whodidit/) tool has been brought back online after being taken offline due to problems with its database. Following [troubleshooting](https://github.com/simon04/whodidit/issues/60) and community engagement, the tool is back, allowing OpenStreetMap contributors to view and analyse recent changesets."
