"id","blog","category","markdown","sg_id"
2494,"WN315","Did you know that…",".. [Go Map](http://wiki.openstreetmap.org/wiki/Go_Map!!) for iOS? Matthijs Melissen [shares](https://lists.openstreetmap.org/pipermail/talk/2016-July/076460.html) his personal experience of how the mobile editor has minimized the chance of user errors and made mapping easy.",9
14067,"WN562","Software","Bryce Cogswell has issued a new beta of the iOS OSM editor, Go Map!! to TestFlight. One highlight of version 2.1.3 is the addition of a [text recognition module](https://www.youtube.com/watch?v=mVis8kgIQsg) for iOS 14-running devices, used to pre-fill opening_hours values.",9
14898,"WN585","Software","Bryce Cogswell [announced](https://www.openstreetmap.org/user/bryceco/diary/397777) that Go Map!! v3.0 has been released for iOS. In the diary post Bryce also reminisced about how Go Map!! came to be.",9
14979,"WN587","Did you know that…","... that it [is](https://www.openstreetmap.org/user/bryceco/diary/397864) possible to run Go Map!! on your Mac?",9
15959,"WN616","Software","'On The Go Map' [is](https://onthegomap.com) a route planner for running, walking, biking, or driving, where you can plot your route points, see the elevation, and share the map &ndash; powered by OpenStreetMap.",9
16349,"WN628","Did you know that…","... we left some options out in last week's [list](https://weeklyosm.eu/archives/15800#wn627_27128) of tools for contributing to OSM? [Go Map!!](https://apps.apple.com/us/app/go-map/id592990211) is available on iPhone (thank you for the kind comments from @Notna M and @Tordans) and [OsmApp](https://osmapp.org/#7.00/49.5003/6.4371) for Android, iOS and Web. Felipe says on Telegram 'On Chrome, Firefox and Safari you can download the Progressive App directly from its page'. We also recommend checking Wambacher's [SoftwareWatchlist](https://wambachers-osm.website/SoftwareWatchlist.html).",9
