"id","blog","category","markdown"
976,"WN287","Mapping","The JOSM [reverter](https://josm.openstreetmap.de/ticket/12360) is currently buggy. Be careful using it!"
1237,"WN292","Mapping","[simple-revert](https://github.com/Zverik/simple-revert) by Ilya Zverv might be a new solution to revert changesets (only reverting deletions). If the changeset to revert is more complex, [osm-revert-scripts](https://github.com/woodpeck/osm-revert-scripts) by Frederik Ramm and JOSM's Reverter plugin will be a better solution. Please [act responsibly](https://wiki.openstreetmap.org/wiki/Automated_edits) if you perform a revert and you should know what you do."
1580,"WN298","Mapping","Nikhil writes about how to [up your skills on OpenStreetMap with JOSM plugins](https://www.mapbox.com/blog/josm-plugins/) using 'reverter' and 'geochat plugings'."
