"id","blog","category","markdown"
5468,"WN374","Software","On the Talk mailing list, Nicolas Guillaumin [seeks](https://lists.openstreetmap.org/pipermail/talk/2017-September/078689.html) a new maintainer for  OSMTracker for Android ."
9045,"WN452","Software","The Android app [OSMTracker](https://wiki.openstreetmap.org/wiki/OSMTracker_(Android)), which is popular with OSM mappers,  [no longer shows maps](https://help.openstreetmap.org/questions/68401/osmtracker-cant-download-tiles-because-its-blocked-by-openstreetmaporg) as a background to tracks. OSMTracker uses the generic user-agent from the osmdroid library which was recently [blocked by the OSM Operations Team](https://github.com/osmdroid/osmdroid/issues/1286#issuecomment-470631126). The tile usage policy requires application-specific user agents."
9085,"WN453","Community","alexkemp [describes](https://www.openstreetmap.org/user/alexkemp/diary/47991) how he resolves problems encountered with OSMTracker 0.7 when pictures aren't georeferenced. He shows how he restores the missing data."
10774,"WN489","Mapping","In a Twitter Moment, Dabo Hamda [reported](https://twitter.com/i/moments/1200397226239037440) ![(fr)](https://blog.openstreetmap.de/wp-uploads/2016/12/fr.svg) (automatic [translation](https://translate.google.com/translate?sl=auto&tl=EN&u=https://twitter.com/i/moments/1200397226239037440)) that the Guinea community had a two day training and capacity building session, at the Digital Campus of Francophonie in Conakry, for geomatics students and community members in open digital mapping and GIS. On the agenda was: introduction and awareness of OSM and its tools, discovery and knowledge of the local community, data collection with Kobo and OSMTracker, and finally the reuse of OSM data in QGIS and OsmAnd."
16377,"WN629","Software","Jean Marco Rojas Umana, a computer engineering student at the Technological Institute of Costa Rica (Public University), is working on proposing and developing an improvement to the OSMTracker. Now he [needs](https://lists.openstreetmap.org/pipermail/talk/2022-August/087693.html) your help by answering seven questions (most of them YES or NO) to validate the necessity to implement functionality to upload tracked traces to a shared folder."
