"id","blog","category","markdown","sg_id"
3268,"WN329","Mapping","Tobias Zwick aka [westnordost](http://hdyc.neis-one.org/?westnordost) [presents](https://forum.openstreetmap.org/viewtopic.php?id=56276) the tool [OSMAGENT](https://github.com/westnordost/osmagent), which can be used by an Android user without tagging knowledge to complete OSM data. The tool uses a ""map of quests"", an approach that is already used by MapRoulette. Feedback is [very welcome](https://github.com/westnordost/osmagent).",7
3837,"WN341","Mapping","MikeN says in [his blog](https://www.openstreetmap.org/user/MikeN/diary) that two more MapRoulette tasks for railway fans are to be done: [Crossing Ways: Highway-Railway, US](http://maproulette.org/map/980) and [Crossing Type: Highway-Railway, US](http://maproulette.org/map/990). These tasks are well thought through, technically perfect compared to the tasks in [Rivers going up the mountain](http://maproulette.org/map/247/352423) and tasks in Ecuador which still have some technical issues.",7
3940,"WN343","Mapping","Martijn [reports](http://blog.improve-osm.org/en/2017/02/osmtime-in-cluj-featuring-maproulette/) about his visit to an OSMTime event in Cluj, Romania. Beata Jancso from Telenav organises OSMTime, a mapping event, once a month.",7
3973,"WN344","Mapping","[1] Jochen Topf has started a [Maproulette-Challenge](http://area.jochentopf.com/fixing.html) to repair invalid areas in OSM and [wrote](https://blog.jochentopf.com/2017-02-14-fixing-broken-multipolygons.html) in his blog about it. Let's begin with self-overlapping closed ways with tag `building",7
3993,"WN344","Picture","![Logo](http://blog.openstreetmap.de/wp-uploads//2017/02/344_6.png)

Typical errors that can be solved with Jochen Topf's MapRoulette task  [1](#wn344_14350) | (C) OpenStreetMap Contributors [CC-BY-SA 2.0](https://creativecommons.org/licenses/by-sa/2.0/)",7
4127,"WN347","Mapping","Martijn van Exel [posts](http://www.openstreetmap.org/user/mvexel/diary/40634) the latest news from MapRoulette.",7
4243,"WN349","Mapping","Martijn van Exel [is working](http://lists.openstreetmap.org/pipermail/maproulette/2017-March/000114.html) on a monthly newsletter for [MapRoulette](http://maproulette.org/). Take a look at the [March edition](http://www.openstreetmap.org/user/mvexel/diary/40756).",7
4258,"WN350","Imports","Christoph Hormann discovered a very questionable MapRoulette challenge for the location correction of islands in polar regions, which degrades data quality. In his user blog (numerous comments) [he asks](https://www.openstreetmap.org/user/imagico/diary/40759) whether such challenges should be treated as mechanical edits.",7
5038,"WN366","Mapping","Martijn van Exel [writes](http://blog.improve-osm.org/en/2017/07/find-your-maproulette-challenge/) on the Telenav blog a little bit about MapRoulette. He feels that the page with the [most popular and newest challenges](http://rtijn.org/maproulette/) is not particularly easy to use. He [asks](https://lists.openstreetmap.org/pipermail/maproulette/2017-July/000116.html) for input to improve the way to find challenges of interest for contributors.",7
5143,"WN368","Community","MikeN [summarises](http://www.openstreetmap.org/user/MikeN/diary/42016) his experience using MapRoulette to add missing `railway=level_crossing` tags in the United States. After 10 long months, the task is finally complete.",7
5522,"WN375","Imports","To bring in line the 40,000 wikidata tags that do not fit the Wikipedia URLs Yuri Astrakhan [suggests](https://lists.openstreetmap.org/pipermail/talk/2017-September/078850.html) to resolve the problem with a script. On the mailing list, Osmose and MapRoulette are mentioned as alternatives which would involve the community.

Yuri Astrakhan's second post [leads](https://lists.openstreetmap.org/pipermail/talk/2017-September/078720.html) yet again to a longer discussion about missing wikidata tags and if they should be added automatically. In the mean time Yuri started a mechanical edit and received a bunch of complaints due to the bad quality of his edits.",7
5541,"WN376","Mapping","A new [task](https://twitter.com/maproulette/status/913940105475219456) on MapRoulette. Help clean up non-existing schools from the [GNIS US](https://wiki.openstreetmap.org/wiki/USGS_GNIS) 2009 import.",7
5876,"WN383","Mapping","In Belgium a road completion project was [started ](https://wiki.openstreetmap.org/wiki/WikiProject_Belgium/Road_completion_project/Instructions)using MapRoulette. It proposes roads that are in the Wegenregister/GRB (Flemish reference base of geodata), but not on OSM. Some of them are private driveways though, so a (local) mapper's discretion is definitely called for.",7
5892,"WN384","Mapping","Martijn van Exel is working on a new version of MapRoulette and asks users [to name](https://lists.openstreetmap.org/pipermail/talk/2017-November/079645.html) the feature they miss the most.",7
6645,"WN401","Mapping","In his [diary](https://www.openstreetmap.org/user/mvexel/diary/43596), Martijn van Exel details the beta of [Maproulette 3.0](http://maproulette.org/mr3).",7
7249,"WN416","Mapping","[Martijn van Exel](https://www.openstreetmap.org/user/mvexel) has released the 3rd version of [MapRoulette](http://maproulette.org/). MapRoulette will give you a random task in OSM to work on. Since 2013 about 1.5 million tasks to improve OSM have been completed. Martijn is blogging about the new features of in a series of posts. His [first post](https://www.openstreetmap.org/user/mvexel/diary/44325) is concerned with the introduction of location, category and text based filters.",7
7239,"WN416","Picture","![Screenshot MapRoulette 3](http://www.weeklyosm.eu/wp-content/uploads/2018/07/417.png =1049x784)

MapRoulette 3 [^1^](#wn416_17870)",7
7761,"WN425","Mapping","Telenav [created](https://lists.openstreetmap.org/pipermail/talk-us/2018-September/018867.html) MapRoulette tasks for highways in OSM lacking a speed limit, but where data are available from image recognition processing of OpenStreetCam photos. So far the new [Maproulette challenge](http://maproulette.org/mr3/challenge/3170) is limited to Detroit.",7
7822,"WN427","Did you know that…","... [MapRoulette](http://maproulette.org/mr3/browse/challenges)? There are always possibilities to improve the OSM data.",7
8224,"WN435","Releases","Martijn van Exel upgraded MapRoulette to version 3.1.1 on maproulette.org. In his user blog Martijn [explains](https://www.openstreetmap.org/user/mvexel/diary/46961) the new features, which include the availability of Mapillary images on MapRoulette,  rebuilding tasks and a public Leaderboard for each challenge",7
8331,"WN438","Releases","Simon Poole released [the first beta for version 12](https://www.openstreetmap.org/user/SimonPoole/diary/47174) of the Vespucci editor.
  It features a new _simple action mode_, which adds a big green button to add new features, instead of the somewhat difficult to explain _long click_.
  Support for Maproulette.
  It adds an _intent_, which means any geo: urls can be opened directly using your an OSM app of your choosing.",7
8442,"WN440","Mapping","Apple [has posted](https://lists.openstreetmap.org/pipermail/talk-ko/2018-December/000409.html) potential data problems in Korea such as building-road intersections, highway links without classification and roads with excessively sharp angles to MapRoulette where the challenges can be solved by volunteers.",7
8568,"WN443","Community","Martijn van Exel [announced](https://www.openstreetmap.org/user/mvexel/diary/47453) the release of a new MapRoulette version. Version 3.1.2 is now available in Japanese too. It allows you to share filtered result lists with others and to edit just the current object in JOSM in areas with a lot of data unrelated to the task at hand.",7
8699,"WN446","Mapping","Andrew from Apple shares on several mailing lists, including [Ecuador](https://lists.openstreetmap.org/pipermail/talk-ec/2019-January/000439.html), [Chile](https://lists.openstreetmap.org/pipermail/talk-cl/2019-January/001866.html) and [Turkey](https://lists.openstreetmap.org/pipermail/talk-tr/2019-January/000459.html), that they have created multiple tasks on [MapRoulette](https://maproulette.org/mr3/browse/challenges). These tasks are determined using Apple's data analysis tool [Atlas](https://github.com/osmlab/atlas). Amongst the tasks created he mentions about creating tasks for correcting intersections of [buildings and roads](https://maproulette.org/mr3/challenge/3575) and overlapping [lanes](https://maproulette.org/mr3/challenge/3559).",7
8776,"WN447","Mapping","Apple has created MapRoulette challenges, mainly in South-American countries (we [reported](http://www.weeklyosm.eu/en/archives/11502/#wn446_19329) earlier). Andrew has now [published](https://github.com/osmlab/appledata/wiki/MapRoulette-Challenges) a list of all challenges. Most new challenges deal with road problems.",7
8785,"WN447","Software","MapRoulette has been updated to version 3.1.3 with a new Korean translation, support for simplestyle Task styling, new leaderboard features and more. Martijn van Exel [writes about it in his diary](https://www.openstreetmap.org/user/mvexel/diary/47670).",7
8992,"WN451","Mapping","raphaelmirc [explains](https://www.openstreetmap.org/user/raphaelmirc/diary/47913) how to use [MapRoulette](https://maproulette.org/). (automatic [translation](https://translate.google.com/translate?sl",7
8989,"WN451","Picture","![Logo](https://weeklyosm.eu/wp-content/uploads/sites/4/2019/03/451.png =995x547) 

MapRoulette has been revised - now version 3.2 [^1^](#wn451_19606)  |  map data © OpenStreetMap contributors",7
8973,"WN451","Software","[MapRoulette](https://maproulette.org/) is now at version 3.2. The latest version of the micro-task platform for OSM features a new design, a new user dashboard, improved task completion flow, and much more. Martijn van Exel [summarises](https://www.openstreetmap.org/user/mvexel/diary/47871) the new features in his diary.",7
