"id","blog","category","markdown","sg_id"
3175,"WN327","Did you know that…","… the [Changeset Map](https://osmlab.github.io/changeset-map/) by Mapbox to visualise a changeset? It offers different features to [Achavi](http://overpass-api.de/achavi/?changeset=42996913), and [osmhv](http://osmhv.openstreetmap.de); try them all and see which you prefer.",6
5850,"WN383","Mapping","Safwat Halaby [created](https://www.openstreetmap.org/user/SafwatHalaby/diary/42709) an [auxiliary website](http://www.safwat.xyz/achavi/) where you can enter a changeset ID and get redirected to the visualisation of this changeset by Achavi.",6
16276,"WN625","Did you know that…","[1] ... that the changeset assessment tool '[Latest Changes](https://rene78.github.io/latest-changes/)' has been [updated](https://www.openstreetmap.org/user/rene78/diary/399505)? It helps you to check recent OSM changes within a certain cartographic boundary, for example your home town. The most relevant updates were a tag comparison table similar to achavi, a download button to fetch changesets, and a vandalism checker to find suspicious edits.",6
