"id","blog","category","markdown"
1237,"WN292","Mapping","[simple-revert](https://github.com/Zverik/simple-revert) by Ilya Zverv might be a new solution to revert changesets (only reverting deletions). If the changeset to revert is more complex, [osm-revert-scripts](https://github.com/woodpeck/osm-revert-scripts) by Frederik Ramm and JOSM's Reverter plugin will be a better solution. Please [act responsibly](https://wiki.openstreetmap.org/wiki/Automated_edits) if you perform a revert and you should know what you do."
17145,"WN651","Software","User NorthCrab [announced](https://www.openstreetmap.org/user/NorthCrab/diary/400706) the release of 'osm-revert', a tool to perform changeset reversion with a simple web interface requiring merely an OSM login, the id of the changeset to be reverted, and the comment for the new changeset. Tom Hughes, an OSM website maintainer, expressed doubts as to whether a 'point-and-click' reverter is a good idea."
18266,"WN685","Software","Kamil Monicz has [published](https://github.com/Zaczero/Thanos) the code for a mass-revert extension designed for osm-revert on GitHub."
