"id","blog","category","markdown"
1014,"WN288","Mapping","[Simon Poole](http://hdyc.neis-one.org/?SimonPoole) tells about, what is in the pipeline for the [next Vespucci](https://www.openstreetmap.org/user/SimonPoole/diary/37802) release."
1091,"WN289","Other Geo Things","User [zvenzzon](http://hdyc.neis-one.org/?zvenzzon) sent en email: Hey, look at this [impressive work](http://mednalochtrad.blogspot.se/2015/03/brodera-en-karta-over-abisko.html), not openstreetmap but cool. Zvenzzon was right!"
1294,"WN292","Mapping","[Seitebatso](http://hdyc.neis-one.org/?Seitebatso) from Lesotho [blogged](https://maplesotho.wordpress.com/2016/02/20/3-d-mapping-for-lesotho/) about 3-D area mapping for Lesotho."
1858,"WN303","Mapping","[Roman Yepishev](http://hdyc.neis-one.org/?ryebread) describes his [OSM obsession](https://twitter.com/RomanYepishev/status/729070966245081088)."
1860,"WN303","Mapping","Federico Mena Quintero (co-founder of Gnome) has [mapped](http://hdyc.neis-one.org/?Federico%20Mena%20Quintero) a lot in OSM. In a tweet he [compares](https://twitter.com/federicomena/status/728633093972623360?s=09) the official map of [Instituto Nacional de Estadística y Geografía](http://www.inegi.org.mx/default.aspx) of Mexico with the OSM map. If you look closely, you can see that the official map is significantly outdated."
1868,"WN303","Community","The page [mainz.radwende.de](https://mainz.radwende.de/de/) has just started. The project of the city of Mainz, Germany, intended to increase the use of bicycle routes in Mainzand aid town planning. There's an app available for [Android](https://play.google.com/store/apps/details?id=de.sv.radwende.mainz&hl=de) and [iOS](https://itunes.apple.com/de/app/radwende-mz/id1102814919?mt=8) for tracking routes. The routes are displayed immediately after uploading them to an OSM heat map. Comment by aka [geowas](http://hdyc.neis-one.org/?geowas): ""Works well and is probably used abundantly, already more than 4,000 kilometers were detected in only two weeks."""
1966,"WN305","Community","Pascal Neis' HDYC [got](http://neis-one.org/2016/05/verified-osm-contributors/) a new feature to display _associated_ accounts and if a mapper may count as verified (e.g. for our [malenki](http://hdyc.neis-one.org/?malenki))."
2021,"WN306","Mapping","User [Blackbird27](http://hdyc.neis-one.org/?Blackbird27) wrote a lengthy and  detailed  [article](http://www.openstreetmap.org/user/Blackbird27/diary/38711) about using Mapillary for mapping in OpenStreetMap with JOSM. [Sandra](http://www.mapillary.com/profile/sandrauddback) Uddback [aslo wrote](http://blog.mapillary.com/update/2016/05/24/use-mapillary-editing-OSM.html ) about using Mapillary in OpenStreetMap in the Mapillary blog."
2027,"WN306","Mapping","The Peruvian members of the Spanish team of our sister ""weeklyOSM"", [Eliane Joyo Meneses](http://hdyc.neis-one.org/?samely) and [Rubén López Mendoza](http://hdyc.neis-one.org/?Rub21) (both employed by Mapbox Peru) have developed a [knife-tool](https://www.mapbox.com/blog/knife-tool/) for JOSM, which makes splitting ways at an arbitrary point a breeze."
2053,"WN307","Community","... and another [new feature](https://twitter.com/pascal_n/status/738721542947909633): HDYC now also mentions your HOTOSM activities."
2062,"WN307","Humanitarian OSM","[DaCor](http://hdyc.neis-one.org/?DaCor) has [started](https://maplesotho.wordpress.com/2016/05/30/maplesotho-phase-2-begins/) the second phase of Lesotho Map with the release of [eleven tasks](http://tasks.hotosm.org/?sort_by"
2476,"WN315","Community","Katrin Humal [published](http://blog.mapillary.com/updates/2016/07/29/mapeadora-open-data.html) a post about Celine Jacquins ([mapeadora](http://hdyc.neis-one.org/?mapeadora)) work on OpenStreetMap, HOT, Mapillary and her love for Open Data."
2529,"WN316","Community","[Karito Tenorio Palomino](http://hdyc.neis-one.org/?karitotp) from Mapbox and the weeklyOSM editor [Edith](http://hdyc.neis-one.org/?ediyes) Quispe [trained](https://www.mapbox.com/blog/taller-osm-wisci-lima/) 100 high school girls in an OpenStreetMap workshop conducted at the [Women in Science Camp](https://girlup.org/wisci/) 2016. The participants were introduced to OSM, how to contribute using iD/JOSM editors and also shared project ideas to work on."
2547,"WN316","Community","weeklyOSM has reported previously on the [mapping activities](http://tasks.hotosm.org/project/1947) of the Irish OSM group involving among others [Dkacor](http://hdyc.neis-one.org/?DaCor) in Lesotho. Now the activities are honored by a Mapping Party [in the Dublin embassy](https://lists.openstreetmap.org/pipermail/talk-ie/2016-August/001600.html) of [the Kingdom of Lesotho](https://en.wikipedia.org/wiki/Lesotho)."
2558,"WN317","Community","Pascal Neis's [How did you contribute to OpenStreetMap?](https://twitter.com/pascal_n/status/761593126934999040) now has a [heatmap Calendar](http://hdyc.neis-one.org/?Harry%20Wood) too!"
2960,"WN324","About us","Happy to announce that weeklyOSM now appears in Italian language as well thanks to [sabas88](http://hdyc.neis-one.org/?sabas88) and [Martin Koppenhöfer](http://hdyc.neis-one.org/?dieterdreist). Both are still looking for collaborators."
3086,"WN326","Community","Escada [declares](https://www.openstreetmap.org/user/escada/diary/39660) Sus as the Belgian Mapper of the month. WeeklyOSM [admires](http://www.hdyc.neis-one.org/?susvhv) his impressive performance. Escada also wonders whether François is the oldest mapper ever."
3240,"WN329","Maps","[Romainbou](http://hdyc.neis-one.org/?Romainbou), an OSM novice from Avignon, France [writes](https://www.openstreetmap.org/user/Romainbou/diary/39644) about his first experiences with [overpass-turbo.eu](http://overpass-turbo.eu/s/jTv). He analyzes the use of the name ""Boulevard"" in Paris, Lyon and Marseille. ![(French)](http://blog.openstreetmap.de/wp-uploads//2015/01/fr.svg) (automatic [translation](https://translate.google.com/translate?sl=auto&tl=EN&u=https://www.openstreetmap.org/user/Romainbou/diary/39644))"
3268,"WN329","Mapping","Tobias Zwick aka [westnordost](http://hdyc.neis-one.org/?westnordost) [presents](https://forum.openstreetmap.org/viewtopic.php?id=56276) the tool [OSMAGENT](https://github.com/westnordost/osmagent), which can be used by an Android user without tagging knowledge to complete OSM data. The tool uses a ""map of quests"", an approach that is already used by MapRoulette. Feedback is [very welcome](https://github.com/westnordost/osmagent)."
3430,"WN332","Mapping","[Edith Quispe](http://hdyc.neis-one.org/?ediyes) aka ediyes [shared](https://www.mapbox.com/blog/osm-geoweek-ayacucho/) a blog post about the events that the Mapbox team hosted as a part of Geography Awareness Week. The Ayacucho office organized a mapathon last Friday to build awareness around geography and continuous growth of the local OpenStreetMap community. Over 15 university students were a part of this and were eager to learn about OpenStreetMap and join the community."
3536,"WN335","Releases","Vladimir Elistratov [(vvoovv)](http://hdyc.neis-one.org/?vvoovv) has [released](https://forum.openstreetmap.org/viewtopic.php?pid=621973#p621973) a new version of his OSM 3D Blender plugin . The plugin is now liable for costs, although the source code is still available."
3600,"WN336","Community","Pascal Neis' HDYC now also [supports](https://twitter.com/geomantic/status/811322477175455744?s"
3633,"WN337","About us","Due to shortage of manpower we have had to drop our Italian version of weeklyOSM. So we will publish in 8 languages in the future. A special thanks to the two remaining editors [sabas88](http://hdyc.neis-one.org/?sabas88) and [sbiribizio](http://hdyc.neis-one.org/?sbiribizio) who tried together to keep the Italian edition alive.  For an edition - even if it is just translations - the weeklyOSM requires minimum three editors. We thank them for their willingness to continue as weeklyOSM's reporters for the Italian community."
3674,"WN338","Community","Pnorman [mentions](http://www.openstreetmap.org/user/pnorman/diary/40171) in his blog post that Sarah Hoffmann [(lonvia)](http://hdyc.neis-one.org/?lonvia), Matthijs Melissen [(math1985)](http://hdyc.neis-one.org/?Math1985) und Bas Couwenberg [(sebastic)](http://hdyc.neis-one.org/?sebastic) have great merits in projects such as osm2pgsql, OpenStreetMap Carto."
3677,"WN338","Community","Pascal Neis'  [hdyc](http://hdyc.neis-one.org/) is increasingly becoming an [information center](http://hdyc.neis-one.org/?joost%20schouppe). Now Mapswipe is [shown](https://twitter.com/pascal_n/status/816384032967626752?s"
3706,"WN339","Mapping","[Kartitotp](http://hdyc.neis-one.org/?karitotp) shows in her [blogpost](https://www.openstreetmap.org/user/karitotp/diary/40217) that the community together with the Mapbox team in [Ayacucho](https://en.wikipedia.org/wiki/Ayacucho) took a great step forward to make the 150,000-inhabitant city in the Peruvian Andes, the best mapped city in Latin America. 20 bus routes from 22 public transport companies are now available in OSM."
3739,"WN339","Software","[Robot8A](http://hdyc.neis-one.org/?Robot8A) tries to [convince](https://github.com/telegramdesktop/tdesktop/issues/2787) Telegram developer to use OSM instead of Google Maps. Interesting disussion follows."
3760,"WN340","Other Geo Things","[Carlos](http://www.openstreetmap.org/user/kaxtillo) Felipe [Castillo](http://hdyc.neis-one.org/?kaxtillo) informed: ""The new private beta from [Blueshift](https://blueshift.io) has arrived!"" A fun and easy tool to create dynamic maps."
4221,"WN349","Community","[1] [Carlos F. Castillo](https://www.openstreetmap.org/user/kaxtillo) aka [kaxtillo](http://hdyc.neis-one.org/?kaxtillo) runs a scout group called [ScoutMappers](https://twitter.com/kaxtillo/status/846106037073723394) in [Popayán](http://www.openstreetmap.org/?mlat=2.4453&mlon=-76.6120#map=15/2.4453/76.6120), Colombia. The scouts should be enabled to [know and apply](http://www.openstreetmap.org/user/kaxtillo/diary/40741) useful tools in emergency cases and to share data with rescue workers. The group from Popayán will publish their experiences from the past six years on [REME](http://fichasremeexperienciascout.blogspot.com/) to share their knowledge with all the scouts around the world so that every scout can do a good deed every day."
